,review,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
10,"['pandang', 'indah', 'telaga', 'warna', 'tata', 'kebun', 'cuaca', 'dingin', 'rekomendasi', 'tempat', 'hilang', 'stress', 'pandemi', 'patuh', 'protokol', 'sehat']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[5.5217885770490405, 4.269025608553672, 6.214935757608986, 2.4772661393256175, 6.214935757608986, 2.718428196142505, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 5.116323468940876, 5.5217885770490405, 6.214935757608986, 4.13549421592915, 2.8827312474337816, 2.996059932740785, 2.996059932740785]","[0.34511178606556503, 0.2668141005346045, 0.3884334848505616, 0.1548291337078511, 0.3884334848505616, 0.16990176225890657, 0.34511178606556503, 0.3884334848505616, 0.3884334848505616, 0.31977021680880474, 0.34511178606556503, 0.3884334848505616, 0.25846838849557185, 0.18017070296461135, 0.18725374579629905, 0.18725374579629905]"
11,"['bagus', 'view', 'batu', 'pandang', 'ratap', 'angin', 'juarawonderfull', 'indonesia']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[4.828641396489095, 2.3437347467010947, 4.4231762883809305, 5.5217885770490405, 6.214935757608986, 2.718428196142505, 4.828641396489095, 3.6499864001474487]","[0.6035801745611369, 0.29296684333763684, 0.5528970360476163, 0.6902235721311301, 0.7768669697011232, 0.33980352451781315, 0.6035801745611369, 0.4562483000184311]"
12,"['rekomendasi', 'weekday', 'ramai', 'antritiket', 'rupiahterdapat', 'toilet', 'awat', 'jaga', 'kebersihannyauntuk', 'parkir', 'roda', 'rupiah']","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[6.214935757608986, 2.718428196142505, 4.4231762883809305, 6.214935757608986, 3.324563999712821, 5.116323468940876, 5.116323468940876, 6.214935757608986, 6.214935757608986, 6.214935757608986, 4.4231762883809305, 6.214935757608986]","[0.5179113131340821, 0.22653568301187543, 0.3685980240317442, 0.5179113131340821, 0.2770469999760684, 0.4263602890784063, 0.4263602890784063, 0.5179113131340821, 0.5179113131340821, 0.5179113131340821, 0.3685980240317442, 0.5179113131340821]"
13,"['view', 'bagus', 'bersih', 'keren', 'pokok']","[0.2, 0.2, 0.2, 0.2, 0.2]","[2.3437347467010947, 2.9190988916046567, 4.605497845174885, 5.5217885770490405, 3.6499864001474487]","[0.468746949340219, 0.5838197783209313, 0.9210995690349771, 1.104357715409808, 0.7299972800294898]"
14,"['pandang', 'super', 'amazing', 'saji', 'parkir', 'spot', 'foto', 'disni', 'tiket']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.214935757608986, 6.214935757608986, 3.324563999712821, 2.718428196142505, 3.324563999712821, 5.5217885770490405, 3.506885556506776, 6.214935757608986, 3.7300291078209855]","[0.6905484175121095, 0.6905484175121095, 0.3693959999680912, 0.3020475773491672, 0.3693959999680912, 0.61353206411656, 0.38965395072297504, 0.6905484175121095, 0.4144476786467761]"
15,"['pas', 'pandemik', 'sepi', 'tutup', 'sebentar', 'menit', 'parkir', 'dieng', 'sebentar', 'menit', 'nanjak', 'pakai', 'kendara']","[0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693]","[2.659587696119572, 5.5217885770490405, 4.269025608553672, 5.5217885770490405, 4.4231762883809305, 6.214935757608986, 3.324563999712821, 5.116323468940876, 6.214935757608986, 4.828641396489095, 6.214935757608986]","[0.20458366893227478, 0.4247529674653108, 0.6567731705467189, 0.4247529674653108, 0.3402443298754562, 0.4780719813545374, 0.2557356922856016, 0.39356334376468277, 0.9561439627090748, 0.3714339535760843, 0.4780719813545374]"
16,"['view', 'bagus', 'bersih', 'kecewa']","[0.25, 0.25, 0.25, 0.25]","[2.3437347467010947, 2.9190988916046567, 5.116323468940876, 3.6499864001474487]","[0.5859336866752737, 0.7297747229011642, 1.279080867235219, 0.9124966000368622]"
17,"['lokasi', 'foto', 'spot', 'tinggi', 'anak', 'tangga', 'htm', 'rborang', 'kios', 'dagang', 'dalam', 'lokasi', 'ganggu', 'indah']","[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142]","[4.4231762883809305, 4.605497845174885, 5.5217885770490405, 3.324563999712821, 5.116323468940876, 5.116323468940876, 2.4772661393256175, 6.214935757608986, 4.4231762883809305, 5.5217885770490405, 3.506885556506776, 4.13549421592915, 6.214935757608986]","[0.3159411634557807, 0.3289641317982061, 0.39441346978921715, 0.23746885712234433, 0.3654516763529197, 0.3654516763529197, 0.17694758138040123, 0.44392398268635613, 0.6318823269115614, 0.39441346978921715, 0.25049182546476967, 0.29539244399493925, 0.44392398268635613]"
18,"['wisata', 'indah']","[0.5, 0.5]","[2.4772661393256175, 3.03688192726104]","[1.2386330696628087, 1.51844096363052]"
19,"['view', 'bagus', 'bukit', 'hijau', 'telaga', 'warna', 'telaga', 'pengilon', 'htm', 'jangkau', 'menu', 'makan', 'sana', 'harga', 'mahal']","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667]","[2.3437347467010947, 4.13549421592915, 4.4231762883809305, 4.4231762883809305, 5.116323468940876, 5.116323468940876, 4.269025608553672, 4.269025608553672, 6.214935757608986, 4.828641396489095, 5.5217885770490405, 2.8827312474337816, 3.6499864001474487, 2.996059932740785]","[0.15624898311340632, 0.2756996143952766, 0.29487841922539537, 0.29487841922539537, 0.34108823126272503, 0.34108823126272503, 0.28460170723691147, 0.28460170723691147, 0.4143290505072657, 0.32190942643260634, 0.36811923846993605, 0.3843641663245042, 0.24333242667649657, 0.19973732884938566]"
