,review,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
34,"['cocok', 'rekreasi', 'rindu', 'suasana', 'sejuk']","[0.2, 0.2, 0.2, 0.2, 0.2]","[4.4231762883809305, 6.214935757608986, 6.214935757608986, 3.170413319885563, 5.5217885770490405]","[0.8846352576761861, 1.2429871515217972, 1.2429871515217972, 0.6340826639771127, 1.104357715409808]"
35,"['wisata', 'cocok', 'kenal', 'sejarah', 'seni', 'budaya', 'dieng', 'ajar', 'cerita', 'wisata', 'dieng', 'plateau']","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666]","[5.116323468940876, 5.5217885770490405, 5.5217885770490405, 4.4231762883809305, 2.659587696119572, 5.116323468940876, 4.828641396489095, 4.13549421592915, 6.214935757608986, 3.03688192726104]","[0.4263602890784063, 0.46014904808742, 0.46014904808742, 0.3685980240317442, 0.4432646160199286, 0.4263602890784063, 0.4023867830407579, 0.34462451799409577, 0.5179113131340821, 0.50614698787684]"
36,"['mengasyikanudara', 'bersih', 'segarpemandangannya', 'indahpantas', 'destinasi', 'libur', 'nyaman']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[2.9190988916046567, 5.116323468940876, 6.214935757608986, 4.605497845174885, 6.214935757608986, 3.6499864001474487, 6.214935757608986]","[0.4170141273720938, 0.7309033527058394, 0.8878479653727123, 0.6579282635964122, 0.8878479653727123, 0.5214266285924927, 0.8878479653727123]"
37,"['sayang', 'retribusi', 'tiket', 'pilih', 'theater', 'banyak', 'tarik']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[5.116323468940876, 6.214935757608986, 6.214935757608986, 3.4423470353692043, 3.817040484810615, 5.116323468940876, 3.7300291078209855]","[0.7309033527058394, 0.8878479653727123, 0.8878479653727123, 0.4917638621956006, 0.5452914978300879, 0.7309033527058394, 0.5328613011172836]"
38,"['video', 'kes', 'jadul', 'pemprov', 'jateng', 'inovasi', 'daya', 'tarik', 'wisata']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.214935757608986, 5.5217885770490405, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 6.214935757608986, 3.817040484810615, 5.116323468940876, 3.03688192726104]","[0.6905484175121095, 0.61353206411656, 0.61353206411656, 0.6905484175121095, 0.6905484175121095, 0.6905484175121095, 0.42411560942340165, 0.568480385437875, 0.33743132525122665]"
39,"['subhanallahmntab', 'adem', 'nikmat', 'indah', 'alamalhamdulillah']","[0.2, 0.2, 0.2, 0.2, 0.2]","[6.214935757608986, 6.214935757608986, 2.4772661393256175, 5.116323468940876, 6.214935757608986]","[1.2429871515217972, 1.2429871515217972, 0.4954532278651235, 1.0232646937881753, 1.2429871515217972]"
40,"['mrnarik', 'kaya', 'tv', 'jaman', 'old', 'tvri']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986]","[1.0358226262681642, 1.0358226262681642, 1.0358226262681642, 1.0358226262681642, 1.0358226262681642, 1.0358226262681642]"
41,"['pandang', 'bagusudaranya', 'dingin', 'segar']","[0.25, 0.25, 0.25, 0.25]","[6.214935757608986, 4.269025608553672, 2.718428196142505, 4.828641396489095]","[1.5537339394022465, 1.067256402138418, 0.6796070490356263, 1.2071603491222738]"
42,"['bagus', 'wisatawan', 'kenal', 'sejarah', 'dieng', 'film', 'dokumenter', 'durasi', 'menit', 'budaya', 'fenomena', 'alamny', 'manfaat', 'alam', 'peristiwa', 'dieng', 'ilmu', 'kenal', 'negeri', 'dihyang']","[0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[3.506885556506776, 6.214935757608986, 2.3437347467010947, 5.5217885770490405, 2.659587696119572, 6.214935757608986, 4.4231762883809305, 5.5217885770490405, 6.214935757608986, 4.13549421592915, 5.5217885770490405, 5.116323468940876, 6.214935757608986, 4.269025608553672, 6.214935757608986, 6.214935757608986, 4.13549421592915, 5.5217885770490405]","[0.1753442778253388, 0.3107467878804493, 0.11718673733505475, 0.276089428852452, 0.2659587696119572, 0.3107467878804493, 0.22115881441904653, 0.276089428852452, 0.3107467878804493, 0.20677471079645748, 0.276089428852452, 0.5116323468940877, 0.3107467878804493, 0.21345128042768363, 0.3107467878804493, 0.3107467878804493, 0.20677471079645748, 0.276089428852452]"
43,"['tempat', 'asyik', 'spot', 'foto', 'tarik', 'jalan', 'lelah', 'arah', 'dieng', 'bayar', 'unjung', 'spot', 'danau', 'bukit', 'ratap', 'angin', 'sore', 'jelang', 'matahari', 'benam']","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.05, 0.05]","[4.828641396489095, 4.605497845174885, 6.214935757608986, 4.13549421592915, 6.214935757608986, 4.13549421592915, 3.91235066461494, 2.659587696119572, 3.324563999712821, 3.91235066461494, 6.214935757608986, 5.5217885770490405, 5.116323468940876, 4.828641396489095, 6.214935757608986, 3.506885556506776, 3.817040484810615, 2.996059932740785, 4.4231762883809305]","[0.24143206982445475, 0.23027489225874428, 0.3107467878804493, 0.20677471079645748, 0.3107467878804493, 0.20677471079645748, 0.19561753323074701, 0.1329793848059786, 0.16622819998564106, 0.19561753323074701, 0.3107467878804493, 0.276089428852452, 0.2558161734470438, 0.24143206982445475, 0.3107467878804493, 0.3506885556506776, 0.19085202424053077, 0.14980299663703925, 0.22115881441904653]"
44,"['bagus', 'banget', 'video', 'didatengi', 'wisata', 'sejarah', 'cerita', 'daerah', 'dieng']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[2.3437347467010947, 4.13549421592915, 5.5217885770490405, 4.828641396489095, 6.214935757608986, 2.659587696119572, 4.13549421592915, 5.116323468940876, 3.03688192726104]","[0.2604149718556772, 0.45949935732546104, 0.61353206411656, 0.5365157107210106, 0.6905484175121095, 0.2955097440132857, 0.45949935732546104, 0.568480385437875, 0.33743132525122665]"
45,"['bersih', 'sejuk', 'harga', 'tiket', 'terjangkaupas', 'libur', 'keluargateman', 'pacar']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[2.9190988916046567, 4.4231762883809305, 6.214935757608986, 4.605497845174885, 6.214935757608986, 3.170413319885563, 6.214935757608986, 3.7300291078209855]","[0.3648873614505821, 0.5528970360476163, 0.7768669697011232, 0.5756872306468607, 0.7768669697011232, 0.39630166498569536, 0.7768669697011232, 0.4662536384776232]"
46,"['senang', 'tempat', 'indah', 'bersih', 'sejuk']","[0.2, 0.2, 0.2, 0.2, 0.2]","[2.9190988916046567, 2.4772661393256175, 3.170413319885563, 5.5217885770490405, 2.996059932740785]","[0.5838197783209313, 0.4954532278651235, 0.6340826639771127, 1.104357715409808, 0.599211986548157]"
47,"['subhanallah', 'indah']","[0.5, 0.5]","[2.4772661393256175, 5.5217885770490405]","[1.2386330696628087, 2.7608942885245202]"
48,"['tempat', 'keren', 'tiket', 'ekonomis', 'tempat', 'indah', 'bersih']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285]","[2.9190988916046567, 6.214935757608986, 2.4772661393256175, 4.605497845174885, 2.996059932740785, 3.7300291078209855]","[0.4170141273720938, 0.8878479653727123, 0.35389516276080246, 0.6579282635964122, 0.8560171236402242, 0.5328613011172836]"
49,"['suasana', 'nyamanseger', 'indah', 'pandang']","[0.25, 0.25, 0.25, 0.25]","[2.4772661393256175, 6.214935757608986, 2.718428196142505, 5.5217885770490405]","[0.6193165348314044, 1.5537339394022465, 0.6796070490356263, 1.3804471442622601]"
50,"['nonton', 'film', 'dieng', 'plateau', 'theater', 'film', 'bagus', 'anakanak', 'sejarah', 'dieng']","[0.1, 0.1, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1]","[5.5217885770490405, 2.3437347467010947, 2.659587696119572, 4.13549421592915, 5.116323468940876, 4.828641396489095, 4.13549421592915, 5.116323468940876]","[0.552178857704904, 0.2343734746701095, 0.5319175392239144, 0.8270988431858299, 0.5116323468940877, 0.4828641396489095, 0.41354942159291497, 0.5116323468940877]"
51,"['tempat', 'bagus', 'view', 'hawa', 'film', 'jadi', 'ajar', 'lam', 'harga']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[5.116323468940876, 2.3437347467010947, 4.13549421592915, 4.4231762883809305, 6.214935757608986, 5.116323468940876, 6.214935757608986, 2.996059932740785, 3.6499864001474487]","[0.568480385437875, 0.2604149718556772, 0.45949935732546104, 0.4914640320423256, 0.6905484175121095, 0.568480385437875, 0.6905484175121095, 0.3328955480823094, 0.4055540444608276]"
52,"['bagus', 'didik', 'anak']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.4231762883809305, 2.3437347467010947, 6.214935757608986]","[1.4743920961269767, 0.7812449155670316, 2.0716452525363285]"
53,"['sangaaat', 'suka', 'dieng', 'panorama', 'alam', 'sejuk', 'mata', 'udara', 'bersih', 'segar', 'hati', 'jiwa', 'manja', 'nyesel', 'dieng', 'home', 'industri', 'buat', 'carica', 'makan', 'khas', 'dieng']","[0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.13636363636363635, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456]","[3.506885556506776, 2.9190988916046567, 6.214935757608986, 6.214935757608986, 2.659587696119572, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 4.828641396489095, 4.269025608553672, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 4.828641396489095, 6.214935757608986, 4.828641396489095, 3.170413319885563, 4.4231762883809305, 4.13549421592915]","[0.15940388893212618, 0.13268631325475713, 0.28249707989131756, 0.28249707989131756, 0.3626710494708507, 0.28249707989131756, 0.28249707989131756, 0.28249707989131756, 0.28249707989131756, 0.2194836998404134, 0.19404661857062147, 0.25099038986586547, 0.28249707989131756, 0.28249707989131756, 0.2194836998404134, 0.28249707989131756, 0.2194836998404134, 0.14410969635843468, 0.20105346765367865, 0.18797700981496135]"
54,"['sejuk', 'bersih', 'aman', 'pandang', 'indah', 'bagus', 'sejarah', 'datar', 'dieng', 'putar', 'film', 'dokumenter', 'wahana', 'uji', 'adrenalin', 'flaying', 'fox', 'sepeda', 'udara']","[0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]","[6.214935757608986, 4.828641396489095, 2.3437347467010947, 2.9190988916046567, 4.4231762883809305, 2.659587696119572, 4.4231762883809305, 4.13549421592915, 6.214935757608986, 6.214935757608986, 2.4772661393256175, 2.718428196142505, 4.828641396489095, 4.13549421592915, 3.170413319885563, 6.214935757608986, 4.13549421592915, 6.214935757608986, 6.214935757608986]","[0.3271018819794203, 0.2541390208678471, 0.12335446035268918, 0.15363678376866613, 0.23279875202004896, 0.13997829979576693, 0.23279875202004896, 0.2176575903120605, 0.3271018819794203, 0.3271018819794203, 0.1303824283855588, 0.14307516821802657, 0.2541390208678471, 0.2176575903120605, 0.1668638589413454, 0.3271018819794203, 0.2176575903120605, 0.3271018819794203, 0.3271018819794203]"
55,"['kotor', 'panas', 'jarang', 'pohon']","[0.25, 0.25, 0.25, 0.25]","[6.214935757608986, 4.017711180272766, 6.214935757608986, 4.605497845174885]","[1.5537339394022465, 1.0044277950681915, 1.5537339394022465, 1.1513744612937213]"
56,"['pandang', 'indah']","[0.5, 0.5]","[2.4772661393256175, 2.718428196142505]","[1.2386330696628087, 1.3592140980712526]"
57,"['tempat', 'bersih', 'pandang', 'suguh', 'subhanallah', 'dingin', 'sekitar', 'ramah']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[2.9190988916046567, 4.269025608553672, 2.718428196142505, 4.605497845174885, 6.214935757608986, 5.5217885770490405, 6.214935757608986, 2.996059932740785]","[0.3648873614505821, 0.533628201069209, 0.33980352451781315, 0.5756872306468607, 0.7768669697011232, 0.6902235721311301, 0.7768669697011232, 0.3745074915925981]"
58,"['abis', 'pakai', 'pandemi', 'kmrn', 'gedung', 'bau', 'apek']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[6.214935757608986, 6.214935757608986, 4.017711180272766, 5.5217885770490405, 5.5217885770490405, 4.4231762883809305, 5.5217885770490405]","[0.8878479653727123, 0.8878479653727123, 0.5739587400389665, 0.7888269395784343, 0.7888269395784343, 0.6318823269115614, 0.7888269395784343]"
59,"['sejuk', 'spot', 'foto', 'view', 'panorama', 'banget', 'very', 'recommended', 'instagramable']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[4.13549421592915, 3.324563999712821, 6.214935757608986, 4.828641396489095, 6.214935757608986, 3.170413319885563, 3.506885556506776, 6.214935757608986, 3.6499864001474487]","[0.45949935732546104, 0.3693959999680912, 0.6905484175121095, 0.5365157107210106, 0.6905484175121095, 0.3522681466539514, 0.38965395072297504, 0.6905484175121095, 0.4055540444608276]"
60,"['banyak', 'keluar', 'uangdi', 'sudut', 'wisata', 'nyaman']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5.116323468940876, 6.214935757608986, 3.6499864001474487, 6.214935757608986, 6.214935757608986, 3.03688192726104]","[0.8527205781568126, 1.0358226262681642, 0.6083310666912414, 1.0358226262681642, 1.0358226262681642, 0.50614698787684]"
61,"['nice', 'place', 'nice', 'view', 'udara', 'bersih', 'segar', 'khas', 'gunung', 'spot', 'foto', 'tarik', 'putar', 'film', 'dokumenter', 'putar', 'dieng', 'plateau']","[0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555]","[2.9190988916046567, 2.659587696119572, 4.4231762883809305, 4.13549421592915, 3.324563999712821, 5.116323468940876, 4.828641396489095, 6.214935757608986, 6.214935757608986, 4.828641396489095, 4.828641396489095, 4.828641396489095, 3.506885556506776, 3.817040484810615, 4.13549421592915, 3.6499864001474487]","[0.16217216064470313, 0.14775487200664286, 0.2457320160211628, 0.22974967866273052, 0.1846979999840456, 0.2842401927189375, 0.2682578553605053, 0.6905484175121095, 0.34527420875605475, 0.2682578553605053, 0.5365157107210106, 0.2682578553605053, 0.19482697536148752, 0.21205780471170083, 0.22974967866273052, 0.2027770222304138]"
62,"['bagus', 'segi', 'pandang', 'jual', 'hujan', 'bberapa', 'tmpt', 'bocor', 'trz', 'lantai', 'sewa', 'makan', 'hujan', 'air', 'nampes', 'sampe', 'lantai', 'sprt', 'awat']","[0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.05263157894736842, 0.10526315789473684, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]","[4.4231762883809305, 2.718428196142505, 2.3437347467010947, 6.214935757608986, 6.214935757608986, 5.5217885770490405, 5.5217885770490405, 6.214935757608986, 4.269025608553672, 6.214935757608986, 2.718428196142505, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 6.214935757608986, 5.5217885770490405, 6.214935757608986]","[0.23279875202004896, 0.14307516821802657, 0.12335446035268918, 0.3271018819794203, 0.3271018819794203, 0.5812409028472674, 0.2906204514236337, 0.6542037639588406, 0.22468555834493012, 0.3271018819794203, 0.14307516821802657, 0.2906204514236337, 0.3271018819794203, 0.3271018819794203, 0.3271018819794203, 0.2906204514236337, 0.3271018819794203]"
63,"['salah', 'wisata', 'ngadem', 'baik', 'kangen']","[0.2, 0.2, 0.2, 0.2, 0.2]","[5.5217885770490405, 5.5217885770490405, 6.214935757608986, 4.13549421592915, 3.03688192726104]","[1.104357715409808, 1.104357715409808, 1.2429871515217972, 0.8270988431858299, 0.6073763854522081]"
64,"['pandang', 'bagus', 'kangen', 'kesana']","[0.25, 0.25, 0.25, 0.25]","[2.3437347467010947, 5.5217885770490405, 4.269025608553672, 2.718428196142505]","[0.5859336866752737, 1.3804471442622601, 1.067256402138418, 0.6796070490356263]"
65,"['tiga', 'kali', 'bosan', 'suhu', 'udara', 'sejuk', 'area', 'wisata', 'dekat', 'makan', 'khas', 'daerah', 'rekomendasi', 'daerah', 'dieng']","[0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[4.605497845174885, 6.214935757608986, 4.828641396489095, 6.214935757608986, 2.659587696119572, 6.214935757608986, 4.828641396489095, 4.269025608553672, 5.116323468940876, 3.170413319885563, 5.5217885770490405, 6.214935757608986, 4.13549421592915, 3.03688192726104]","[0.3070331896783257, 0.4143290505072657, 0.6438188528652127, 0.4143290505072657, 0.17730584640797145, 0.4143290505072657, 0.32190942643260634, 0.28460170723691147, 0.34108823126272503, 0.21136088799237085, 0.36811923846993605, 0.4143290505072657, 0.2756996143952766, 0.202458795150736]"
66,"['simplee', 'makan', 'harga', 'jangkau']","[0.25, 0.25, 0.25, 0.25]","[4.4231762883809305, 5.116323468940876, 4.269025608553672, 6.214935757608986]","[1.1057940720952326, 1.279080867235219, 1.067256402138418, 1.5537339394022465]"
67,"['mahal', 'wisata', 'plus', 'parkir', 'bayar', 'sndiri', 'parkir', 'sndri', 'brp', 'wisata', 'bayang', 'bayar', 'double', 'bengkak', 'dana', 'parkir']","[0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.1875, 0.0625, 0.0625, 0.0625, 0.125]","[6.214935757608986, 4.13549421592915, 6.214935757608986, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 4.269025608553672, 3.324563999712821, 6.214935757608986, 6.214935757608986, 6.214935757608986, 3.03688192726104]","[0.3884334848505616, 0.5169367769911437, 0.3884334848505616, 0.34511178606556503, 0.3884334848505616, 0.3884334848505616, 0.2668141005346045, 0.623355749946154, 0.3884334848505616, 0.3884334848505616, 0.3884334848505616, 0.37961024090763]"
68,"['parkir', 'luastoilet', 'banyaknyaman', 'sejarah', 'dieng', 'plateaumantab']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.214935757608986, 2.659587696119572, 6.214935757608986, 3.324563999712821, 6.214935757608986, 4.13549421592915]","[1.0358226262681642, 0.4432646160199286, 1.0358226262681642, 0.5540939999521368, 1.0358226262681642, 0.6892490359881915]"
69,"['bagus', 'banget', 'pandang', 'nyatnya', 'mudah', 'ganggu', 'bau', 'pupuk', 'kandang', 'nyajadi', 'cepat', 'bau']","[0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[2.3437347467010947, 4.13549421592915, 4.017711180272766, 6.214935757608986, 5.116323468940876, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 2.718428196142505, 6.214935757608986]","[0.1953112288917579, 0.34462451799409577, 0.6696185300454609, 0.5179113131340821, 0.4263602890784063, 0.5179113131340821, 0.5179113131340821, 0.5179113131340821, 0.5179113131340821, 0.22653568301187543, 0.5179113131340821]"
70,"['wisata', 'indah', 'sejuk']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.4772661393256175, 3.170413319885563, 3.03688192726104]","[0.8257553797752057, 1.0568044399618541, 1.01229397575368]"
71,"['indah', 'alam']","[0.5, 0.5]","[3.506885556506776, 2.4772661393256175]","[1.753442778253388, 1.2386330696628087]"
72,"['film', 'dokumenter', 'putar', 'bagus', 'luar', 'pandang', 'indah']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[2.3437347467010947, 4.4231762883809305, 4.13549421592915, 2.4772661393256175, 6.214935757608986, 2.718428196142505, 4.828641396489095]","[0.3348192495287278, 0.6318823269115614, 0.5907848879898785, 0.35389516276080246, 0.8878479653727123, 0.388346885163215, 0.6898059137841565]"
73,"['nyaman', 'piknik', 'bareng', 'keluarga', 'teman', 'teman']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[6.214935757608986, 4.605497845174885, 3.6499864001474487, 6.214935757608986, 5.5217885770490405]","[1.0358226262681642, 0.7675829741958142, 0.6083310666912414, 1.0358226262681642, 1.84059619234968]"
74,"['bagus', 'tempat', 'dingin', 'homestay', 'ramah', 'orgnya']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[2.3437347467010947, 4.269025608553672, 5.5217885770490405, 6.214935757608986, 4.605497845174885, 2.996059932740785]","[0.3906224577835158, 0.7115042680922787, 0.92029809617484, 1.0358226262681642, 0.7675829741958142, 0.4993433221234641]"
75,"['pokok', 'jossss', 'gandoss', 'kawasan', 'dieng']","[0.2, 0.2, 0.2, 0.2, 0.2]","[2.659587696119572, 6.214935757608986, 6.214935757608986, 6.214935757608986, 5.5217885770490405]","[0.5319175392239144, 1.2429871515217972, 1.2429871515217972, 1.2429871515217972, 1.104357715409808]"
76,"['dieng', 'libur', 'sahabat']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.659587696119572, 4.605497845174885, 5.5217885770490405]","[0.8865292320398572, 1.5351659483916285, 1.84059619234968]"
77,"['bagus', 'tambah', 'ilmu']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.3437347467010947, 5.5217885770490405, 5.5217885770490405]","[0.7812449155670316, 1.84059619234968, 1.84059619234968]"
78,['awat'],[1.0],[2.718428196142505],[2.718428196142505]
79,"['teater', 'putar', 'video', 'dokumenter', 'dieng', 'durasi', 'menit', 'kursi', 'awat', 'rombong', 'duduk', 'bawah']","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[2.718428196142505, 5.5217885770490405, 2.659587696119572, 4.4231762883809305, 5.5217885770490405, 5.5217885770490405, 5.5217885770490405, 4.269025608553672, 4.828641396489095, 6.214935757608986, 4.828641396489095, 5.116323468940876]","[0.22653568301187543, 0.46014904808742, 0.2216323080099643, 0.3685980240317442, 0.46014904808742, 0.46014904808742, 0.46014904808742, 0.35575213404613937, 0.4023867830407579, 0.5179113131340821, 0.4023867830407579, 0.4263602890784063]"
80,"['tata', 'pkl', 'rapi', 'obyek', 'wisata', 'sikidang', 'sampah', 'mana', 'sgr', 'perda', 'atur']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.214935757608986, 5.5217885770490405, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 5.116323468940876, 3.575878427993727, 6.214935757608986, 5.5217885770490405, 4.13549421592915, 3.03688192726104]","[0.5649941597826351, 0.5019807797317309, 0.5019807797317309, 0.5649941597826351, 0.5649941597826351, 0.4651203153582615, 0.3250798570903388, 0.5649941597826351, 0.5019807797317309, 0.3759540196299227, 0.2760801752055491]"
81,"['bagus', 'foto', 'dieng', 'kotor', 'sampah', 'bau', 'got', 'urus']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[2.3437347467010947, 4.017711180272766, 2.659587696119572, 3.324563999712821, 6.214935757608986, 4.017711180272766, 3.575878427993727, 4.605497845174885]","[0.29296684333763684, 0.5022138975340957, 0.3324484620149465, 0.4155704999641026, 0.7768669697011232, 0.5022138975340957, 0.4469848034992159, 0.5756872306468607]"
82,"['bagus', 'tayang', 'sayang', 'fasilitas', 'tunjang', 'kursi', 'awat']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[2.718428196142505, 2.3437347467010947, 4.828641396489095, 5.5217885770490405, 3.4423470353692043, 6.214935757608986, 6.214935757608986]","[0.388346885163215, 0.3348192495287278, 0.6898059137841565, 0.7888269395784343, 0.4917638621956006, 0.8878479653727123, 0.8878479653727123]"
83,"['konsep', 'edukasi', 'bagus', 'sayang', 'awat']","[0.2, 0.2, 0.2, 0.2, 0.2]","[2.718428196142505, 2.3437347467010947, 6.214935757608986, 6.214935757608986, 3.4423470353692043]","[0.5436856392285011, 0.468746949340219, 1.2429871515217972, 1.2429871515217972, 0.6884694070738409]"
84,"['teater', 'urus', 'bangun', 'remaja', 'bangun', 'ruang', 'tonton', 'fasilitas', 'nonton', 'layar', 'tancap', 'vcd', 'film', 'saji', 'tarik', 'dieng']","[0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[4.605497845174885, 2.659587696119572, 4.828641396489095, 4.13549421592915, 5.5217885770490405, 5.116323468940876, 6.214935757608986, 5.5217885770490405, 5.5217885770490405, 5.5217885770490405, 3.817040484810615, 4.828641396489095, 5.5217885770490405, 4.605497845174885, 6.214935757608986]","[0.5756872306468607, 0.16622423100747324, 0.30179008728056844, 0.25846838849557185, 0.34511178606556503, 0.31977021680880474, 0.3884334848505616, 0.34511178606556503, 0.34511178606556503, 0.34511178606556503, 0.23856503030066345, 0.30179008728056844, 0.34511178606556503, 0.28784361532343034, 0.3884334848505616]"
